cve_number,granularity,matrix_type,entropy,num_bugs,num_comps,num_distinct_traces,num_failed_comps,num_failed_tests,num_tests,only_failed_comps,only_passed_comps,precision,recall,wasted
CVE-2017-7623,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,16,51,16,8,51,1,0,0,0,inf
CVE-2017-7939,dll,base,0.0,1,1,2,1,148,222,0,0,1.0,1.0,0.0
CVE-2017-7939,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-7939,dll,merge_same_comps,0.0,1,1,2,1,148,222,0,0,1.0,1.0,0.0
CVE-2017-7939,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-7939,function,base,6.5623675150330337e-17,1,104,4,104,148,222,1,0,1.0,1.0,0.0
CVE-2017-7939,function,remove_duplicate_tests,2.9409617957712806,1,104,4,104,1,4,1,0,0.9999999999999989,0.9999999999999989,0.0
CVE-2017-7939,function,merge_same_comps,4.3749116766886883e-18,1,4,4,4,148,222,1,0,1.0,1.0,0.0
CVE-2017-7939,function,remove_duplicate_tests&merge_same_comps,0.79396177032227633,1,4,4,4,1,4,1,0,1.0,1.0,0.0
CVE-2017-7939,dominator,base,2.3025850929940459,3,36,4,36,148,222,0,0,0.2727272727272727,0.09090909090909088,5.666666666666667
CVE-2017-7939,dominator,remove_duplicate_tests,2.5538751203326622,3,36,4,36,1,4,0,0,0.24299602080248098,0.08099867360082699,5.666666666666667
CVE-2017-7939,dominator,merge_same_comps,1.3700381303314615e-52,1,3,4,3,148,222,0,0,1.0,1.0,0.0
CVE-2017-7939,dominator,remove_duplicate_tests&merge_same_comps,0.68527324756899599,1,3,4,3,1,4,0,0,0.6251911769078515,0.6251911769078515,0.0
CVE-2017-7939,code blocks,base,0.0,0,516,30,516,148,222,1,0,0,0,inf
CVE-2017-7939,code blocks,remove_duplicate_tests,0.0,0,516,30,516,14,30,1,0,0,0,inf
CVE-2017-7939,code blocks,merge_same_comps,0.0,0,15,30,15,148,222,1,0,0,0,inf
CVE-2017-7939,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,15,30,15,14,30,1,0,0,0,inf
CVE-2017-7962,dll,base,0.0,1,1,2,1,41,222,0,0,1.0,1.0,0.0
CVE-2017-7962,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-7962,dll,merge_same_comps,0.0,1,1,2,1,41,222,0,0,1.0,1.0,0.0
CVE-2017-7962,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-7962,function,base,1.3864507762419189,1,118,20,118,41,222,0,0,1.0000000000000002,1.0000000000000002,0.0
CVE-2017-7962,function,remove_duplicate_tests,1.433685724532078,1,118,20,118,3,20,0,0,1.0000000000000004,1.0000000000000004,0.0
CVE-2017-7962,function,merge_same_comps,0.00012514977630250513,1,10,20,10,41,222,0,0,0.9999999999999999,0.9999999999999999,0.0
CVE-2017-7962,function,remove_duplicate_tests&merge_same_comps,0.038498336247234477,1,10,20,10,3,20,0,0,1.0,1.0,0.0
CVE-2017-7962,dominator,base,1.3864194946039932,1,48,20,48,41,222,0,0,2.4999749996250134e-23,2.4999749996250134e-23,9.0
CVE-2017-7962,dominator,remove_duplicate_tests,1.4242947005365585,1,48,20,48,3,20,0,0,1.55675992953728e-08,1.55675992953728e-08,9.0
CVE-2017-7962,dominator,merge_same_comps,0.00012514977630250513,1,10,20,10,41,222,0,0,9.99989999100021e-23,9.99989999100021e-23,3.0
CVE-2017-7962,dominator,remove_duplicate_tests&merge_same_comps,0.03849833624723447,1,10,20,10,3,20,0,0,6.22674862073694e-08,6.22674862073694e-08,3.0
CVE-2017-7962,code blocks,base,0.0,0,696,49,696,41,222,22,0,0,0,inf
CVE-2017-7962,code blocks,remove_duplicate_tests,0.0,0,696,49,696,13,49,22,0,0,0,inf
CVE-2017-7962,code blocks,merge_same_comps,0.0,0,37,49,37,41,222,3,0,0,0,inf
CVE-2017-7962,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,37,49,37,13,49,3,0,0,0,inf
CVE-2017-9204,dll,base,0.0,1,1,2,1,52,222,0,0,1.0,1.0,0.0
CVE-2017-9204,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9204,dll,merge_same_comps,0.0,1,1,2,1,52,222,0,0,1.0,1.0,0.0
CVE-2017-9204,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9204,function,base,0.0082831917878705471,1,110,8,110,52,222,1,0,0.9999999999999999,0.9999999999999999,0.0
CVE-2017-9204,function,remove_duplicate_tests,1.4596662567057066,1,110,8,110,1,8,1,0,0.9999999999999999,0.9999999999999999,0.0
CVE-2017-9204,function,merge_same_comps,0.0082701125445911357,1,9,8,9,52,222,1,0,0.9999999999999999,0.9999999999999999,0.0
CVE-2017-9204,function,remove_duplicate_tests&merge_same_comps,1.092978780821769,1,9,8,9,1,8,1,0,0.9999999999999997,0.9999999999999997,0.0
CVE-2017-9204,dominator,base,0.0070473424161470091,2,36,8,36,52,222,1,0,0.0007985206986995451,0.00039926034934977255,1.5
CVE-2017-9204,dominator,remove_duplicate_tests,1.045407921852362,2,36,8,36,2,8,1,0,0.45209511628457805,0.22604755814228902,1.5
CVE-2017-9204,dominator,merge_same_comps,0.0035249988670836081,1,7,8,7,52,222,1,0,0.0003994198222286067,0.0003994198222286067,1.0
CVE-2017-9204,dominator,remove_duplicate_tests&merge_same_comps,0.64608339623788236,1,7,8,7,2,8,1,0,0.2926639233615322,0.2926639233615322,1.0
CVE-2017-9204,code blocks,base,0.0,0,454,14,454,52,222,0,0,0,0,inf
CVE-2017-9204,code blocks,remove_duplicate_tests,0.0,0,454,14,454,1,14,0,0,0,0,inf
CVE-2017-9204,code blocks,merge_same_comps,0.0,0,14,14,14,52,222,0,0,0,0,inf
CVE-2017-9204,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,14,14,14,1,14,0,0,0,0,inf
CVE-2017-9205,dll,base,0.0,1,1,2,1,48,222,0,0,1.0,1.0,0.0
CVE-2017-9205,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9205,dll,merge_same_comps,0.0,1,1,2,1,48,222,0,0,1.0,1.0,0.0
CVE-2017-9205,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9205,function,base,2.1552157692226756e-25,1,112,8,112,49,222,1,0,1.0,1.0,0.0
CVE-2017-9205,function,remove_duplicate_tests,1.0864739660151461,1,112,8,112,2,8,1,0,0.9999999999999976,0.9999999999999976,0.0
CVE-2017-9205,function,merge_same_comps,3.5920262820377924e-26,1,7,8,7,49,222,1,0,1.0,1.0,0.0
CVE-2017-9205,function,remove_duplicate_tests&merge_same_comps,0.23302686807132855,1,7,8,7,2,8,1,0,1.0,1.0,0.0
CVE-2017-9205,dominator,base,1.3862943611198906,2,37,6,37,44,222,1,0,1.9395474595750527e-32,9.697737297875264e-33,1.5
CVE-2017-9205,dominator,remove_duplicate_tests,1.639891278147708,2,37,6,37,1,6,1,0,0.23158795043706856,0.11579397521853428,1.5
CVE-2017-9205,dominator,merge_same_comps,4.6051701859880972e-19,1,6,6,6,44,222,1,0,9.697737297875255e-33,9.697737297875255e-33,0.0
CVE-2017-9205,dominator,remove_duplicate_tests&merge_same_comps,0.6874818895605741,1,6,6,6,1,6,1,0,0.17857432093282233,0.17857432093282233,0.0
CVE-2017-9205,code blocks,base,0.0,0,485,18,485,46,222,1,0,0,0,inf
CVE-2017-9205,code blocks,remove_duplicate_tests,0.0,0,485,18,485,5,18,1,0,0,0,inf
CVE-2017-9205,code blocks,merge_same_comps,0.0,0,14,18,14,46,222,1,0,0,0,inf
CVE-2017-9205,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,14,18,14,5,18,1,0,0,0,inf
CVE-2017-9206,dll,base,0.0,1,1,2,1,61,222,0,0,1.0,1.0,0.0
CVE-2017-9206,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9206,dll,merge_same_comps,0.0,1,1,2,1,61,222,0,0,1.0,1.0,0.0
CVE-2017-9206,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9206,function,base,0.57017681913414997,1,113,9,113,61,222,5,0,0.9999999999999998,0.9999999999999998,0.0
CVE-2017-9206,function,remove_duplicate_tests,1.2923734484834508,1,113,9,113,3,9,5,0,0.9999999999999988,0.9999999999999988,0.0
CVE-2017-9206,function,merge_same_comps,0.30620942940489781,1,11,9,11,61,222,4,0,1.0,1.0,0.0
CVE-2017-9206,function,remove_duplicate_tests&merge_same_comps,0.64782701382116981,1,11,9,11,3,9,4,0,1.0000000000000002,1.0000000000000002,0.0
CVE-2017-9206,dominator,base,0.78653238058651365,2,39,8,39,61,222,4,0,0.015890396164022855,0.007945198082011428,3.5
CVE-2017-9206,dominator,remove_duplicate_tests,1.6225622031615188,2,39,8,39,3,8,4,0,0.6976632673854216,0.3488316336927108,0.5
CVE-2017-9206,dominator,merge_same_comps,0.09338520002656836,1,9,8,9,61,222,3,0,0.01589039616402286,0.01589039616402286,2.0
CVE-2017-9206,dominator,remove_duplicate_tests&merge_same_comps,1.0380751345632184,1,9,8,9,3,8,3,0,0.6351730399876641,0.6351730399876641,0.0
CVE-2017-9206,code blocks,base,0.0,0,458,15,458,61,222,7,0,0,0,inf
CVE-2017-9206,code blocks,remove_duplicate_tests,0.0,0,458,15,458,3,15,7,0,0,0,inf
CVE-2017-9206,code blocks,merge_same_comps,0.0,0,16,15,16,61,222,3,0,0,0,inf
CVE-2017-9206,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,16,15,16,3,15,3,0,0,0,inf
CVE-2017-9207,dll,base,0.0,1,1,2,1,74,222,0,0,1.0,1.0,0.0
CVE-2017-9207,dll,remove_duplicate_tests,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9207,dll,merge_same_comps,0.0,1,1,2,1,74,222,0,0,1.0,1.0,0.0
CVE-2017-9207,dll,remove_duplicate_tests&merge_same_comps,0.0,1,1,2,1,1,2,0,0,1.0,1.0,0.0
CVE-2017-9207,function,base,1.7917595015958563,1,111,8,111,74,222,0,0,1.0000000000000002,1.0000000000000002,0.0
CVE-2017-9207,function,remove_duplicate_tests,1.9566862234305951,1,111,8,111,1,8,0,0,1.0,1.0,0.0
CVE-2017-9207,function,merge_same_comps,1.9420680558668074e-07,1,6,8,6,74,222,0,0,1.0,1.0,0.0
CVE-2017-9207,function,remove_duplicate_tests&merge_same_comps,0.72544259172995762,1,6,8,6,1,8,0,0,1.0000000000000002,1.0000000000000002,0.0
CVE-2017-9207,dominator,base,1.3862944096715921,2,37,8,37,74,222,0,0,0.49999999875,0.249999999375,1.5
CVE-2017-9207,dominator,remove_duplicate_tests,1.6229730690311046,2,37,8,37,1,8,0,0,0.39902690139699076,0.19951345069849538,2.0
CVE-2017-9207,dominator,merge_same_comps,1.9420680558668074e-07,1,6,8,6,74,222,0,0,0.9999999900000001,0.9999999900000001,0.0
CVE-2017-9207,dominator,remove_duplicate_tests&merge_same_comps,0.72544259172995751,1,6,8,6,1,8,0,0,0.4970499674940171,0.4970499674940171,1.0
CVE-2017-9207,code blocks,base,0.0,0,502,22,502,74,222,0,0,0,0,inf
CVE-2017-9207,code blocks,remove_duplicate_tests,0.0,0,502,22,502,6,22,0,0,0,0,inf
CVE-2017-9207,code blocks,merge_same_comps,0.0,0,14,22,14,74,222,0,0,0,0,inf
CVE-2017-9207,code blocks,remove_duplicate_tests&merge_same_comps,0.0,0,14,22,14,6,22,0,0,0,0,inf
