timestamp,677271d56999ae96a9fe55fdf4a2a202,d32dfc6844d1243eacc5e05de6877078
Mon Sep 05 21:41:32 2016,0.5,0.5
Mon Sep 05 21:58:09 2016,0.509615384615,0.490384615385
Mon Sep 05 22:14:47 2016,0.519607843137,0.480392156863
Mon Sep 05 22:31:32 2016,0.506578947368,0.493421052632
Mon Sep 05 22:48:19 2016,0.507425742574,0.492574257426
Mon Sep 05 23:04:55 2016,0.517857142857,0.482142857143
Mon Sep 05 23:21:52 2016,0.509933774834,0.490066225166
Mon Sep 05 23:38:30 2016,0.501420454545,0.498579545455
Mon Sep 05 23:55:06 2016,0.504975124378,0.495024875622
Tue Sep 06 00:11:36 2016,0.505530973451,0.494469026549
Tue Sep 06 00:29:00 2016,0.504980079681,0.495019920319
Tue Sep 06 00:46:06 2016,0.507246376812,0.492753623188
Wed Sep 07 00:28:54 2016,0.5,0.5
Wed Sep 07 00:30:32 2016,0.5,0.5
Wed Sep 07 00:35:34 2016,0.5,0.5
Wed Sep 07 00:39:10 2016,0.5,0.5
Wed Sep 07 00:47:31 2016,0.5,0.5
Wed Sep 07 01:13:34 2016,0.5,0.5
