timestamp,677271d56999ae96a9fe55fdf4a2a202,d32dfc6844d1243eacc5e05de6877078
Mon Dec 19 12:11:56 2016,0.5,0.5
Mon Dec 19 17:42:04 2016,0.5,0.5
